timestamp,source,url,unique_apis,total_calls
2026-03-13T09:28:55.239Z,browserleaks.com,https://browserleaks.com/canvas,26,905
2026-03-13T09:29:02.646Z,browserleaks.com,https://browserleaks.com/webgl,81,1031
2026-03-13T09:29:11.500Z,browserleaks.com,https://browserleaks.com/fonts,25,902
2026-03-13T09:29:24.517Z,browserleaks.com,https://browserleaks.com/tls,25,902
2026-03-13T09:29:32.349Z,browserleaks.com,https://browserleaks.com/tls,26,905
2026-03-13T09:29:40.551Z,browserleaks.com,https://browserleaks.com/proxy,27,904
2026-03-13T09:29:45.902Z,browserleaks.com,https://browserleaks.com/#more,22,898
2026-03-13T09:29:49.251Z,browserleaks.com,https://browserleaks.com/proxy,27,905
2026-03-13T09:29:54.785Z,browserleaks.com,https://browserleaks.com/proxy,27,905
2026-03-13T09:29:59.086Z,browserleaks.com,https://browserleaks.com/proxy,27,905
2026-03-13T09:30:06.101Z,browserleaks.com,https://browserleaks.com/javascript,111,1086
2026-03-13T09:30:07.717Z,browserleaks.com,https://browserleaks.com/javascript,111,1086
2026-03-13T09:30:18.799Z,browserleaks.com,https://browserleaks.com/ip,28,923
2026-03-13T09:30:20.553Z,browserleaks.com,https://browserleaks.com/ip,29,924
2026-03-13T09:30:23.681Z,browserleaks.com,https://browserleaks.com/ip,30,927
2026-03-13T09:30:23.700Z,browserleaks.com,https://browserleaks.com/ip,30,927
2026-03-13T09:30:25.468Z,browserleaks.com,https://browserleaks.com/ip,30,927
2026-03-13T09:30:38.724Z,browserleaks.com,https://browserleaks.com/ip,30,928
2026-03-13T09:30:51.451Z,browserleaks.com,https://browserleaks.com/ip,30,929
2026-03-13T09:30:53.726Z,browserleaks.com,https://browserleaks.com/ip,30,929
2026-03-13T09:31:00.902Z,browserleaks.com,https://browserleaks.com/,22,899
2026-03-13T09:31:08.689Z,browserleaks.com,https://browserleaks.com/donottrack,27,904
2026-03-13T09:31:23.734Z,browserleaks.com,https://browserleaks.com/,22,899
2026-03-13T09:31:27.732Z,browserleaks.com,https://browserleaks.com/css,25,902
2026-03-13T09:31:29.150Z,browserleaks.com,https://browserleaks.com/css,26,905
2026-03-13T09:31:35.684Z,browserleaks.com,https://browserleaks.com/css,26,907
2026-03-13T09:31:39.753Z,browserleaks.com,https://browserleaks.com/css,26,908
2026-03-13T09:31:54.757Z,browserleaks.com,https://browserleaks.com/css,26,909
2026-03-13T09:32:13.638Z,amiunique.org,https://amiunique.org/,57,8553
2026-03-13T09:32:26.151Z,amiunique.org,https://amiunique.org/fingerprint,55,8677
2026-03-13T09:32:27.786Z,amiunique.org,https://amiunique.org/timeline,55,8452
2026-03-13T09:32:41.896Z,amiunique.org,https://amiunique.org/timeline,56,8462
2026-03-13T09:32:58.287Z,amiunique.org,https://amiunique.org/fingerprint,55,8653
2026-03-13T09:33:03.348Z,amiunique.org,https://amiunique.org/fingerprint,55,8653
2026-03-13T09:33:04.424Z,amiunique.org,https://amiunique.org/fingerprint,55,8653
2026-03-13T09:33:15.242Z,amiunique.org,https://amiunique.org/fingerprint,55,8656
2026-03-13T09:33:19.425Z,amiunique.org,https://amiunique.org/fingerprint,56,8666
2026-03-13T09:33:33.821Z,coveryourtracks.eff.org,https://coveryourtracks.eff.org/,22,42
2026-03-13T09:33:39.502Z,coveryourtracks.eff.org,https://coveryourtracks.eff.org/kcarter?aat=1,22,42
2026-03-13T09:33:48.780Z,firstpartysimulator.net,https://firstpartysimulator.net/kcarter?&aat=1,22,42
2026-03-13T09:33:56.702Z,firstpartysimulator.org,https://firstpartysimulator.org/kcarter?&aat=1,22,42
2026-03-13T09:33:57.402Z,firstpartysimulator.org,https://firstpartysimulator.org/kcarter?&aat=1,22,42
2026-03-13T09:33:58.560Z,firstpartysimulator.org,https://firstpartysimulator.org/kcarter?&aat=1,22,42
2026-03-13T09:34:02.840Z,firstpartysimulator.org,https://firstpartysimulator.org/kcarter?try2=true&aat=1,59,207
2026-03-13T09:34:16.570Z,coveryourtracks.eff.org,https://coveryourtracks.eff.org/results?&aat=1&fpi_whorls=%7B%22v2%22%3A%7B%22plugins%22%3A%22Plugin,86,500
2026-03-13T09:34:17.169Z,coveryourtracks.eff.org,https://coveryourtracks.eff.org/results?&aat=1&fpi_whorls=%7B%22v2%22%3A%7B%22plugins%22%3A%22Plugin,86,500
2026-03-13T09:34:18.784Z,coveryourtracks.eff.org,https://coveryourtracks.eff.org/results?&aat=1&fpi_whorls=%7B%22v2%22%3A%7B%22plugins%22%3A%22Plugin,86,500
2026-03-13T09:34:22.178Z,coveryourtracks.eff.org,https://coveryourtracks.eff.org/results?&aat=1&fpi_whorls=%7B%22v2%22%3A%7B%22plugins%22%3A%22Plugin,86,500
2026-03-13T09:34:25.023Z,amiunique.org,https://amiunique.org/fingerprint,55,8537
2026-03-13T09:34:33.789Z,coveryourtracks.eff.org,https://coveryourtracks.eff.org/results?&aat=1&fpi_whorls=%7B%22v2%22%3A%7B%22plugins%22%3A%22Plugin,86,500
2026-03-13T09:34:35.420Z,coveryourtracks.eff.org,https://coveryourtracks.eff.org/results?&aat=1&fpi_whorls=%7B%22v2%22%3A%7B%22plugins%22%3A%22Plugin,86,500
2026-03-13T09:34:40.426Z,coveryourtracks.eff.org,https://coveryourtracks.eff.org/results?&aat=1&fpi_whorls=%7B%22v2%22%3A%7B%22plugins%22%3A%22Plugin,86,500
2026-03-13T09:34:41.114Z,coveryourtracks.eff.org,https://coveryourtracks.eff.org/results?&aat=1&fpi_whorls=%7B%22v2%22%3A%7B%22plugins%22%3A%22Plugin,86,500
